Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk
2021-11-08 00:00:00,149.02,163.4553386828348,0.0,0.013933333333333334,0.0,2.7552758979034984,2.7552758979034984
2021-11-08 00:05:00,149.02000000005214,158.64193812938,0.0,0.013933333333333334,0.0,2.7552758979103786,2.7552758979103786
2021-11-08 00:10:00,149.02000000461342,156.12380217032606,0.0,0.013933333333333334,0.0,2.755275898512135,2.755275898512135
2021-11-08 00:15:00,149.02000005301016,154.2440650331805,0.0,0.013933333333333334,0.0,2.7552759048969078,2.7552759048969078
2021-11-08 00:20:00,149.02000027447733,152.2014264134275,0.0,0.013933333333333334,0.0,2.7552759341141324,2.7552759341141324
2021-11-08 00:25:00,149.02000092787665,149.29291547473417,0.0,0.013933333333333334,0.0,2.755276020314375,2.755276020314375
2021-11-08 00:30:00,149.02000241233705,145.60219633668177,0.0,0.013933333333333334,0.0,2.755276216153,2.755276216153
2021-11-08 00:35:00,149.02000525553908,142.8845322410147,0.0,0.013933333333333334,0.0,2.7552765912447565,2.7552765912447565
2021-11-08 00:40:00,149.0200100888943,143.07986262504483,0.0,0.013933333333333334,0.0,2.7552772288891063,2.7552772288891063
2021-11-08 00:45:00,149.0200176169034,146.45899639001615,0.0,0.013933333333333334,0.0,2.755278222027972,2.755278222027972
2021-11-08 00:50:00,149.02002858555835,149.74583992011927,0.0,0.013933333333333334,0.0,2.755279669077172,2.755279669077172
2021-11-08 00:55:00,149.02004375272514,149.15078568964728,0.0,0.013933333333333334,0.0,2.7552816700190834,2.7552816700190834
2021-11-08 01:00:00,149.02006386209322,143.4526371884957,0.0,0.013933333333333334,0.0,2.7552843229660877,2.7552843229660877
2021-11-08 01:05:00,149.0200896213955,136.88807129576853,0.0,0.013933333333333334,0.0,2.7552877212872358,2.7552877212872358
2021-11-08 01:10:00,149.02012168504982,134.61636367736568,0.0,0.013933333333333334,0.0,2.7552919513183207,2.7552919513183207
2021-11-08 01:15:00,149.0201606410423,138.90393652714516,0.0,0.013933333333333334,0.0,2.7552970906314815,2.7552970906314815
2021-11-08 01:20:00,149.02020700168708,145.86989846932585,0.0,0.013933333333333334,0.0,2.7553032068162677,2.7553032068162677
2021-11-08 01:25:00,149.02026119780598,150.48312793095633,0.0,0.013933333333333334,0.0,2.7553103567117927,2.7553103567117927
2021-11-08 01:30:00,149.02032357583937,150.0820759557798,0.0,0.013933333333333334,0.0,2.7553185860256364,2.7553185860256364
2021-11-08 01:35:00,149.02039439740463,147.0405354905124,0.0,0.013933333333333334,0.0,2.7553279292756505,2.7553279292756505
2021-11-08 01:40:00,149.0204738408461,144.73307498178337,0.0,0.013933333333333334,0.0,2.75533840999435,2.75533840999435
2021-11-08 01:45:00,149.02056200436058,145.06217666577285,0.0,0.013933333333333334,0.0,2.755350041141249,2.755350041141249
2021-11-08 01:50:00,149.02065891032643,146.80213967703625,0.0,0.013933333333333334,0.0,2.7553628256739304,2.7553628256739304
2021-11-08 01:55:00,149.0207645105141,148.09668449642933,0.0,0.013933333333333334,0.0,2.755376757235429,2.755376757235429
2021-11-08 02:00:00,149.02087869190044,147.93324740582946,0.0,0.013933333333333334,0.0,2.755391820921107,2.755391820921107
2021-11-08 02:05:00,149.0210012828528,147.0921608458953,0.0,0.013933333333333334,0.0,2.7554079940945426,2.7554079940945426
2021-11-08 02:10:00,149.0211320594902,146.7756151365745,0.0,0.013933333333333334,0.0,2.7554252472265794,2.7554252472265794
2021-11-08 02:15:00,149.02127075206343,148.18580054939633,0.0,0.013933333333333334,0.0,2.755443544736873,2.755443544736873
2021-11-08 02:20:00,149.02141705122872,152.52490731379748,0.0,0.013933333333333334,0.0,2.755462845821524,2.755462845821524
2021-11-08 02:25:00,149.0215706141168,156.53284512201395,0.0,0.013933333333333334,0.0,2.7554831052536426,2.7554831052536426
2021-11-08 02:30:00,149.02173107012322,147.61486538380015,0.0,0.013933333333333334,0.0,2.755504274147142,2.755504274147142
2021-11-08 02:35:00,149.02189802636627,142.7162340164383,0.0,0.013933333333333334,0.0,2.755526300676656,2.755526300676656
2021-11-08 02:40:00,149.0220710727753,140.71085500409566,0.0,0.013933333333333334,0.0,2.755549130748793,2.755549130748793
2021-11-08 02:45:00,149.02224978678686,140.4726323165999,0.0,0.013933333333333334,0.0,2.755572708621579,2.755572708621579
2021-11-08 02:50:00,149.02243373763764,140.87546991389425,0.0,0.013933333333333334,0.0,2.7555969774707885,2.7555969774707885
2021-11-08 02:55:00,149.02262249025242,140.8820786359429,0.0,0.013933333333333334,0.0,2.755621879902785,2.755621879902785
2021-11-08 03:00:00,149.02281560873232,140.16562440736865,0.0,0.013933333333333334,0.0,2.755647358414625,2.755647358414625
2021-11-08 03:05:00,149.02301265945482,139.90899021340894,0.0,0.013933333333333334,0.0,2.755673355803139,2.755673355803139
2021-11-08 03:10:00,149.023213213802,141.51180593193112,0.0,0.013933333333333334,0.0,2.7556998155247343,2.7556998155247343
2021-11-08 03:15:00,149.02341685053443,145.2658562093743,0.0,0.013933333333333334,0.0,2.7557266820085955,2.7557266820085955
2021-11-08 03:20:00,149.02362315783333,149.10875457030204,0.0,0.013933333333333334,0.0,2.7557539009260705,2.7557539009260705
2021-11-08 03:25:00,149.0238317350325,150.597313243213,0.0,0.013933333333333334,0.0,2.7557814194192347,2.7557814194192347
2021-11-08 03:30:00,149.02404219406384,148.6733149677964,0.0,0.013933333333333334,0.0,2.7558091862915157,2.7558091862915157
