Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk
2021-11-01 00:00:00,143.39252940010996,157.82786808294475,0.0,0.006583333333333333,0.0,2.050664402544396,2.050664402544396
2021-11-01 00:05:00,143.3925294007169,153.01446752989847,0.0,0.006583333333333333,0.0,2.0506644026161225,2.0506644026161225
2021-11-01 00:10:00,143.392529440492,150.4963315891104,0.0,0.006583333333333333,0.0,2.0506644073176856,2.0506644073176856
2021-11-01 00:15:00,143.39252981957424,148.61659463557058,0.0,0.006583333333333333,0.0,2.0506644521265907,2.0506644521265907
2021-11-01 00:20:00,143.39253139484813,146.57395688909338,0.0,0.006583333333333333,0.0,2.050664638329682,2.050664638329682
2021-11-01 00:25:00,143.39253564495235,143.6654485408241,0.0,0.006583333333333333,0.0,2.050665140707473,2.050665140707473
2021-11-01 00:30:00,143.39254453753716,139.9747351537342,0.0,0.006583333333333333,0.0,2.0506661918435123,2.0506661918435123
2021-11-01 00:35:00,143.39256032978275,137.2570816498977,0.0,0.006583333333333333,0.0,2.0506680585451846,2.0506680585451846
2021-11-01 00:40:00,143.39258537893906,137.4524292061734,0.0,0.006583333333333333,0.0,2.050671019449201,2.050671019449201
2021-11-01 00:45:00,143.39262199201806,140.83158838405157,0.0,0.006583333333333333,0.0,2.0506753472550536,2.0506753472550536
2021-11-01 00:50:00,143.39267231913797,144.11846705616807,0.0,0.006583333333333333,0.0,2.0506812961186376,2.0506812961186376
2021-11-01 00:55:00,143.39273828510483,143.52345896093243,0.0,0.006583333333333333,0.0,2.0506890935654503,2.0506890935654503
2021-11-01 01:00:00,143.39282155111442,137.82536860593137,0.0,0.006583333333333333,0.0,2.0506989359640944,2.0506989359640944
2021-11-01 01:05:00,143.39292349875174,131.26087364074556,0.0,0.006583333333333333,0.0,2.050710986635597,2.050710986635597
2021-11-01 01:10:00,143.39304522974626,128.98925026760566,0.0,0.006583333333333333,0.0,2.050725375824697,2.050725375824697
2021-11-01 01:15:00,143.39318757637082,133.27692100386366,0.0,0.006583333333333333,0.0,2.0507422019292263,2.0507422019292263
2021-11-01 01:20:00,143.39335111864165,140.24299460991136,0.0,0.006583333333333333,0.0,2.050761533533297,2.050761533533297
2021-11-01 01:25:00,143.39353620550477,144.85634948859374,0.0,0.006583333333333333,0.0,2.0507834119115205,2.0507834119115205
2021-11-01 01:30:00,143.393742977997,144.45543652561008,0.0,0.006583333333333333,0.0,2.050807853766445,2.050807853766445
2021-11-01 01:35:00,143.3939713929709,141.41404840077388,0.0,0.006583333333333333,0.0,2.0508348540326753,2.0508348540326753
2021-11-01 01:40:00,143.3942212464259,139.10675320771927,0.0,0.006583333333333333,0.0,2.0508643886341926,2.0508643886341926
2021-11-01 01:45:00,143.3944921958156,139.43603276377152,0.0,0.006583333333333333,0.0,2.050896417120753,2.050896417120753
2021-11-01 01:50:00,143.39478378094265,141.17618573638086,0.0,0.006583333333333333,0.0,2.050930885137177,2.050930885137177
2021-11-01 01:55:00,143.3950954432236,142.4709321060956,0.0,0.006583333333333333,0.0,2.0509677266999975,2.0509677266999975
2021-11-01 02:00:00,143.39542654322636,142.3077076339228,0.0,0.006583333333333333,0.0,2.0510068662699843,2.0510068662699843
2021-11-01 02:05:00,143.39577637646784,141.46684422952745,0.0,0.006583333333333333,0.0,2.051048220618832,2.051048220618832
2021-11-01 02:10:00,143.39614418751486,141.15053168020967,0.0,0.006583333333333333,0.0,2.051091700495567,2.051091700495567
2021-11-01 02:15:00,143.39652918246807,142.56095972993737,0.0,0.006583333333333333,0.0,2.0511372121016396,2.0511372121016396
2021-11-01 02:20:00,143.39693053993108,146.9003180909121,0.0,0.006583333333333333,0.0,2.051184658387157,2.051184658387157
2021-11-01 02:25:00,143.39734742057814,150.90851595242228,0.0,0.006583333333333333,0.0,2.051233940181424,2.051233940181424
2021-11-01 02:30:00,143.39777897543928,141.99080423844362,0.0,0.006583333333333333,0.0,2.0512849571719247,2.0512849571719247
2021-11-01 02:35:00,143.39822435302094,137.09244839963094,0.0,0.006583333333333333,0.0,2.0513376087457527,2.0513376087457527
2021-11-01 02:40:00,143.39868270537755,135.08735197391835,0.0,0.006583333333333333,0.0,2.0513917947070563,2.0513917947070563
2021-11-01 02:45:00,143.39915319324268,134.8494185059393,0.0,0.006583333333333333,0.0,2.0514474158833975,2.0514474158833975
2021-11-01 02:50:00,143.3996349903224,135.252551551647,0.0,0.006583333333333333,0.0,2.0515043746330126,2.0515043746330126
2021-11-01 02:55:00,143.40012728684624,135.2594615680107,0.0,0.006583333333333333,0.0,2.051562575264578,2.051562575264578
2021-11-01 03:00:00,143.40062929246233,134.5433141171564,0.0,0.006583333333333333,0.0,2.05162192437926,2.05162192437926
2021-11-01 03:05:00,143.40114023855676,134.28699184161198,0.0,0.006583333333333333,0.0,2.051682331144847,2.051682331144847
2021-11-01 03:10:00,143.40165938006874,135.89012429545826,0.0,0.006583333333333333,0.0,2.051743707510372,2.051743707510372
2021-11-01 03:15:00,143.40218599686673,139.6444958193037,0.0,0.006583333333333333,0.0,2.0518059683687357,2.0518059683687357
2021-11-01 03:20:00,143.40271939474454,143.487719648807,0.0,0.006583333333333333,0.0,2.051869031674553,2.051869031674553
2021-11-01 03:25:00,143.40325890608824,144.97660773942872,0.0,0.006583333333333333,0.0,2.051932818522972,2.051932818522972
2021-11-01 03:30:00,143.40380389026174,143.0529425726227,0.0,0.006583333333333333,0.0,2.0519972531954234,2.0519972531954234
